pos,videoId,kind,day_result,pnl_usd,account,trades_n,symbols,setups,mistakes,market,first_et,last_et,max_loss_hit,notable
29,6N5OdC3zl0c,recap,green,37000,both,4,JUNS,micro_pullback;half_whole_dollar;dip_buy,slippage;chased_extended,?,?,?,?,"Small account +$2,372.44; shelved big account after locking gains"
31,EvaLoKjzKqY,recap,green,19323,small,2,SGLY;HUIZ,micro_pullback;dip_buy,none,?,07:00,?,?,Recovered all of yesterday's -$18k in one day
33,Q6oWxbuvoqA,recap,red,-18000,small,5,YJ;VRAX;RDAC;CISS,micro_pullback;half_whole_dollar;halt_resumption;dip_buy,chased_extended;oversized;didnt_bank_green;ignored_own_filter,hot,?,?,?,"Third emotional-hijack blowup in 2 weeks; last trade -$10,000"
35,qNTugIPRrP8,recap,green,10291,both,7,PFSA;SXTC;SLE;GNPX,vwap_break;dip_buy;micro_pullback;half_whole_dollar,didnt_bank_green,?,?,?,?,"Gave back $7,129 on SLE false breakout"
37,OzLePbEE5nE,recap,green,52920.96,both,6,IPST;WETO,vwap_break;flat_top,oversized;didnt_bank_green,?,?,?,?,Went from -$12k to +$62k on one IPST trade
38,7D3k0Ui_cPY,recap,green,?,both,6,IPST,vwap_break;flat_top,slippage,?,?,?,?,"Big-acct first IPST trade -$12,000 on slippage"
39,yHrlQ5_Sc6c,watchlist,?,?,?,?,?,?,?,?,?,?,?,Rule: watch sub-$1 stocks that squeeze and hold above $1
41,kIZS4bU2Jpo,recap,red,-64000,both,6,WETO;STKH;ONFO,flat_top;abcd;halt_resumption;micro_pullback,oversized;chased_extended;didnt_bank_green;divided_attention;ignored_own_filter,?,?,?,Y,"Was +$32k then impulsive 45,000-share STKH entry at highs"
42,2BMJ5DjTeUo,recap,red,?,both,4,WETO;STKH;ONFO,first_pullback;abcd;half_whole_dollar,ignored_own_filter;traded_low_quality;divided_attention,?,?,?,Y,Small acct -$879.73; big account hit max loss same day
44,Rd8nj1NCBS4,recap,green,13632.60,main,3,XHG,dip_buy;reversal,reentry_after_stop;didnt_bank_green,hot,?,?,?,Up $37k intraday then gave back $25k
46,9x5ww56Ls7U,recap,green,17617,main,4,OFAL;RMCF;SPRC,flat_top;other,oversized;didnt_bank_green,?,?,?,?,"Added back 60,000 OFAL shares into a rejection, flipping that stock red"
48,FOPRLEllotk,recap,green,19000,?,?,FRTT,other;dip_buy,chased_extended;oversized,mixed,?,?,?,Averaged too high adding into FRTT after FOMO from missed WXM and AIHS
49,5x9xdpFBfNo,recap,green,84000,both,?,JWEL;SCKT,bull_flag;first_pullback,none,hot,07:00,?,?,"Erased Friday's -$73k in one day: +$61k JWEL, +$22k SCKT"
50,mCfoMFY9vJE,recap,green,?,both,?,JWEL;SCKT,dip_buy;half_whole_dollar,none,?,?,?,?,"Small acct +$2,925.50 to $68k on day 32"
51,l7Z5aqS4zpk,watchlist,?,?,?,?,?,?,?,hot,?,?,?,Plans quarter-size until half of the -$73k drawdown is recouped
53,cZcprj_8wEM,recap,red,-73000,both,?,MB;CLRO;NAMI;DSY,vwap_break;half_whole_dollar;other,chased_extended;oversized;no_cushion;divided_attention;didnt_bank_green,hot,07:00,?,Y,"Lost $52,000 on one DSY VWAP-break trade"
55,coqONALABpo,recap,red,?,both,?,NAMI;DSY,vwap_break;half_whole_dollar,didnt_bank_green;oversized,mixed,?,?,Y,Small acct +$203.38 while main account hit max loss on same setup
56,ofCxvrijsss,recap,green,37000,main,?,CLRO;WYHG,micro_pullback;bull_flag;vwap_break,none,hot,07:01,?,?,Stopped before the 9:30 open to avoid halt risk
61,kew1-rBx4kk,recap,notrade,0,?,0,?,?,none,?,?,?,?,"AMIX ran 500% but its move came 11:30-12:31, outside his window"
63,bcn3-gerSsQ,recap,green,20000,both,?,FCUV;HYFM;EZRA,micro_pullback;half_whole_dollar,divided_attention,hot,?,?,?,Prioritising small acct made his main HYFM entries later
64,50iICFBL5kA,watchlist,?,?,?,?,?,?,?,?,?,?,?,July review shows losses came from trading 10-11am outside his window
67,ns2SKNDnbZI,recap,green,62000,both,?,FCUV,half_whole_dollar;other,chased_extended,?,?,?,?,Power cut took his desktop down as FCUV started an 800% run
68,LN-eW6OPddw,recap,green,?,both,?,FCUV,half_whole_dollar,none,hot,09:30,09:30,?,"Small acct +$4,129.25 on one trade at the open after two no-trade days"
70,Ctp_STuX_l4,recap,green,20000,main,?,NUWE;PN,other,chased_extended;didnt_bank_green;traded_low_quality,hot,?,?,?,"Hot-market daily goal is $20,000 and he finished at exactly 1x it"
72,SuY-q_OWMHw,recap,green,22000,main,?,NCRA;DFNS,micro_pullback;vwap_break;halt_resumption,didnt_bank_green;chased_extended;reentry_after_stop,mixed,?,?,?,Peaked +$56k on NCRA then gave back over half
73,1ml6zHikpsE,recap,red,-32384.82,both,1,INLF,halt_resumption,broke_ice_boredom;chased_extended;added_to_loser;outside_window,cold,?,?,Y,One post-open INLF trade cost -$32k main and -$7k small; should have been no-trade
75,Zj0DYfQilso,recap,red,-7332.81,small,2,INLF,micro_pullback;halt_resumption,broke_ice_boredom;chased_extended;reentry_after_stop;outside_window,cold,?,?,?,Lost ~20% of a $38k small account in 2 trades; best window 7:00-9:30
76,Ht5j4VMdRMo,recap,green,32000,both,?,EDBL;VTIX,vwap_break;micro_pullback,?,?,?,?,?,News stocks failing while no-news Chinese stocks squeeze
78,83Yuliq1vHA,recap,green,4000,small,1,VTIX,micro_pullback,none,?,?,?,?,"Risked ~40c/share on 4,000 doubled to 8,000 for ~2:1"
79,xtslg3eW2tU,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Last week +$103k in the Roth IRA, July month-to-date +$214k"
81,p73Vmwgg64c,recap,green,?,both,2,EXYN;MSS,other;micro_pullback,ignored_own_filter;didnt_bank_green;slippage,mixed,?,?,?,Blames dispersed attention and ThinkorSwim slippage for a choppy day
83,b-iczURZwJY,recap,green,50.11,small,2,EXYN;MSS,other;vwap_break,ignored_own_filter;traded_low_quality,cold,?,?,?,Rule: if he gives back more than half the day's profit he has to walk away
84,CA8i4Rc2bUY,recap,green,29000,both,4,ZCMD;GEM;EHGO,micro_pullback;flat_top,no_cushion;reentry_after_stop;chased_extended,?,07:00,?,?,Swung from -$12.5k on ZCMD to +$41k on the EHGO flat-top break
86,Ts7C0flv-1g,recap,green,1868.92,small,2,EHGO,flat_top,chased_extended,hot,?,?,?,"Small account to $34,677, up about 1,600% in 24 days"
87,YkEOx0ZWlWc,recap,green,40000,both,?,LABT,micro_pullback;dip_buy,none,hot,08:05,08:15,?,Whole $40k came from LABT between 8:05 and 8:15
89,-QZ8buLplck,recap,green,2242.11,small,2,LABT,micro_pullback,stop_widened,?,?,?,?,"Small acct ~$32k, +1,500% from $2,000; 52 trades, 78% accuracy"
90,q-ywzhtkeY8,recap,notrade,?,?,0,?,?,none,mixed,?,?,?,"ZYBT and CPHI both Chinese no-news squeezes over 1,000%, no trades taken"
92,mDQEtmG0PCw,recap,green,26000,main,3,BIYA,dip_buy;other,none,?,?,?,?,One winner two losers (33% accuracy) but winner was 5x the daily goal
94,x0qg5eGF7zc,recap,green,?,both,1,BIYA,micro_pullback,none,?,07:41,07:41,?,"50 trades in 22 days, 78% accuracy, +1,400%"
95,otCqRWCJ2uA,watchlist,?,?,?,?,?,?,?,cold,?,?,?,July at ~$111k with no trades Thu or Fri
97,PMNTB2WAiww,recap,notrade,?,?,0,?,?,none,cold,?,?,?,Passed on STACK 4.50 flat top; cites market headwind and fearful sentiment
100,2UpK6vs0MVQ,recap,green,587.78,small,1,RUBI,other,slippage,cold,?,?,?,Only trade of the day; 49 trades at 77% accuracy
101,TzpOIMOrU7I,recap,green,19689.57,both,?,VIVS;ERNA,other,chased_extended,mixed,?,?,?,"Stated daily goal is $20,000"
102,8IYunlNOVmM,recap,green,3652.96,small,3,ERNA;VIVS,micro_pullback;other,chased_extended,?,?,?,?,"Walked away after 3rd trade lost, to preserve profit"
103,ut9nmRP3ENY,recap,green,13200.70,both,5,NXTC;JTI;UBXG,micro_pullback,reentry_after_stop,hot,07:15,?,?,"NXTC +$19,000 on reverse-merger news"
105,ChLgwLS9eJY,recap,green,?,both,2,NXTC;UBXG,micro_pullback;other,none,?,?,?,?,"Small acct +$1,400 NXTC and +$741 UBXG"
106,RZbM0qXOFbc,recap,green,8430,both,?,PLSM;VEEE,first_pullback;micro_pullback;vwap_break;dip_buy,back_side;oversized;stop_widened;divided_attention,?,?,?,?,"Lost $26k in one 30,000-share PLSM trade after FOMO; VEEE +$34k recovery"
108,S2sOq-stPgA,recap,green,?,both,3,PLSM;VEEE,dip_buy;micro_pullback,back_side;traded_low_quality;divided_attention;didnt_bank_green,mixed,?,?,?,Gave back PLSM profit on backside curl while toggling two accounts
109,MjrwaD9WeCg,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,"July accuracy only 45%, avg winner $6,600 vs avg loser $1,300 over 31 trades"
112,uTyfk4UvsUw,recap,green,18000,main,4,GMM,flat_top;micro_pullback;dip_buy,didnt_bank_green,?,?,?,?,Peaked +$29k and gave back $11k
113,49ykxodJcFc,recap,green,24359.40,both,?,VRX,micro_pullback;other,didnt_bank_green;reentry_after_stop,?,?,?,?,Peaked $28.8k and gave back about $4k
115,miyJZq-5uIg,recap,green,?,both,1,VRX,micro_pullback,slippage,?,?,?,?,"20c entry slippage so he cut it quick; acct now +1,000%"
117,0smkAvTc4AY,recap,notrade,0,both,0,?,?,none,cold,?,?,?,Leading gainer only up 48% at 6:45 so he stood down
118,Dpba4GF0KhY,recap,green,?,both,5,CLRO,flat_top;other,reentry_after_stop;stop_widened;outside_window,cold,?,?,?,Red on 4 of 5 CLRO trades but recovered; should have walked away at 9:07
120,550XNdh4y5k,recap,green,?,both,2,SILO;CLRO,micro_pullback,added_to_loser,?,?,?,?,"Small acct +$216.80: SILO +$476, CLRO -$259 after adding to a partial fill"
122,4T2x29K1TDk,recap,green,8000,main,?,LHSW;GMEX,bull_flag;other,didnt_bank_green,?,?,?,?,"LHSW +$9,157.59 after peaking near $12k; GMEX round-tripped green to red"
123,I0aTxFJWAD0,watchlist,?,?,?,?,?,?,?,cold,?,?,?,Skips setups that retrace more than half of the prior move
125,BZwJFPk3cBM,training,green,2943.22,small,?,?,?,?,?,?,?,?,Uses DAS Trader at $150/mo to place pre-market orders on Schwab
126,zxzE4I3Iig8,recap,green,2943.22,small,2,CLRO,flat_top,didnt_bank_green,?,?,?,?,"Day 15, 2nd biggest of challenge; added back after selling and gave some back"
128,3dXvK41dpd4,recap,green,8917,main,3,CX,micro_pullback;dip_buy,chased_extended,cold,?,?,?,Wildcard effect: when nothing else moves the one squeezing stock draws all attention
129,iZ-mXl0ga3U,recap,green,7298,both,5,TC;CF;GEM;DXST,dip_buy;vwap_break;micro_pullback,?,cold,07:00,?,?,First trade taken in the wrong account for a -$394 loss
131,HTgOZI8GOV0,recap,green,1068,small,2,DXST;CANF,dip_buy;vwap_break,?,?,09:18,?,?,"Small acct up 772% in 14 days; 35 trades, 80% accuracy"
132,PnuyhYGHuUY,recap,green,72872,both,?,SVRE;JEM,dip_buy;micro_pullback;half_whole_dollar,divided_attention;slippage,hot,?,?,?,"June over $500k; avg winner $6,500 vs avg loser $4,600, accuracy 68%"
134,b1pOO_bkbdA,recap,green,616,small,3,SVRE,micro_pullback;dip_buy,divided_attention,hot,?,?,?,Small acct up 719% in 13 days
135,rhOjs_8rh6w,recap,green,28107,both,?,UPC,vwap_break;micro_pullback,didnt_bank_green,cold,08:45,?,?,"Peaked +$39k, gave back $11k on the last trade and quit"
136,tQ7cYcI2tNk,recap,green,2951,small,2,UPC,vwap_break,chased_extended,cold,?,?,?,Skipped a setup below VWAP: under VWAP means sellers are in control
137,S6AyP-2ziFc,watchlist,?,?,?,?,?,?,?,?,?,?,?,Hunting SpaceX-treasury and biotech catalysts into Monday
139,hUb-n3kzqjI,recap,red,-22580,both,?,ZDAI;SHPH;S,micro_pullback;vwap_break,oversized;no_cushion;didnt_bank_green;divided_attention,cold,?,?,?,First trade -$25k: big size with no cushion on a no-news Chinese stock
141,P5qdiBNct1c,recap,green,1300,small,8,ZDAI;S,micro_pullback;vwap_break,chased_extended,?,?,?,?,Gave back 40% of the day's profit on the last trade - his cue to stop
143,A7Gnw1CMExI,recap,green,5302,both,?,MIMI;ANY;ILLR,vwap_break;half_whole_dollar;micro_pullback;halt_resumption,didnt_bank_green;reentry_after_stop,?,?,?,?,Risked $15k to make $5k; ILLR SpaceX headline saved a red day
144,P5Sn_mWJdy0,recap,green,1319,small,4,MIMI;FCUV,vwap_break;other,?,cold,?,?,?,Rule: he will not take a trade once the MACD has turned red
145,tfTdAbm9oTI,recap,green,9487.09,main,?,PLSM;FRTT,other,none,?,?,?,?,PLSM float shown as 50M shares but actually 3.5M - check filings on recent IPOs
147,D8Guwf84eAA,recap,green,1513.69,small,1,FRTT,micro_pullback,none,?,?,?,?,Skipped PLSM in small acct as too expensive; blue sky + recent IPO + low volume parabolic
149,8KQmIREGX6E,recap,red,-36000,both,?,ICCM;FCUV,dip_buy;halt_resumption,reentry_after_stop;oversized;didnt_bank_green,?,?,?,Y,Lost 8.1k on ICCM then -28k on FCUV re-entering after stops; small acct was a small winner
150,10ogBWqgprI,recap,green,614.47,small,1,ICCM,micro_pullback,slippage,?,?,?,?,Limit order underfilled on ICCM; accepted smaller size rather than chase; acct +332% in 8 days
151,wxcUcYbUtDw,recap,green,15687.94,main,12,NXTS,micro_pullback,none,?,?,?,?,NXTS worked on 3rd attempt because nothing else competed for trader attention that morning
152,W6AErTREKHw,recap,green,1372,small,4,NXTS,micro_pullback;vwap_break,none,?,?,?,?,Small acct +300% in 7 days to $8k; position only 400-500 shares; also traded NXTS in main acct
153,oRX-scXUU0U,watchlist,?,?,?,?,?,?,?,hot,?,?,?,Watching SAGT and LFS for Monday; main account +$700k over the last 30 days
154,L1mi5ENCn98,recap,green,2900,both,?,CDT;WOK;CRVO;ATPC,micro_pullback;halt_resumption;dip_buy,traded_low_quality;slippage,mixed,?,?,?,"Down $3,600 midday then ATPC gave +$10k; small acct red about -$1,000 the same day"
155,Zf2p9c1qHjg,recap,red,-915.13,small,4,CDTI;WOK,micro_pullback,ignored_own_filter;reentry_after_stop;oversized,?,?,?,?,"Broke own price filter on $1.50 CDTI; 5,000 shares was biggest position of the challenge"
156,9aVNE3mJJBk,recap,green,?,main,?,CLWT;UTSI;WYHG;ICCM;EHGO,micro_pullback;dip_buy;abcd,didnt_bank_green;outside_window,hot,?,?,?,Peaked +$74k then gave back about 40%; final net not stated; -$20k on EHGO after the open
157,ZVM1OzsCRcc,recap,red,-17561.30,both,3,OPTX;TDIC,dip_buy;micro_pullback,oversized;didnt_bank_green,cold,?,?,N,"Sets daily max loss equal to his trailing two-week average daily gain, now about $53k"
159,c814DtTOGDg,recap,green,2374.70,small,1,UPC,micro_pullback,none,hot,?,?,?,"Won't take a setup unless the stock can move 50c to $1 per share; 1 trade, acct +295%"
161,KlIE5mjS2dM,recap,green,44729,main,?,JRSH;CUPR,micro_pullback;first_pullback,chased_extended;slippage;didnt_bank_green,hot,08:25,?,?,"Roth IRA began the year at $96k, came in today at $1.4M; no trades taken in the small account"
163,2hVojBIp5Zc,recap,green,84000,main,?,SPACEX,?,?,hot,?,?,?,SpaceX day trades gave $39k of the $84k Friday; also holds IPO-allocated shares bought at $135
167,a_sPocQnr4g,news,?,?,?,?,?,?,?,?,?,?,?,"Requested ~4,250 SpaceX IPO shares via Schwab and affirmed, but none posted to his account yet"
168,vcfpJWEqaTU,recap,green,62000,both,?,FGL;EDHL;QH,micro_pullback;first_pullback,added_to_loser;traded_low_quality,hot,?,08:57,N,"Lost $17,291 on FGL but was already +$65k; never takes full risk before building a cushion"
171,5UBYoh6J2e0,recap,green,1200,small,2,EDHL;FGL,micro_pullback,none,hot,?,?,?,"Small account day 4: $4,200 to $5,500, +176% in 4 days over 5 trades; profits donated to charity"
172,YDCycC3xVMA,recap,green,141921,both,?,VSME;GCDT;KIDZ;DSY;CLWT,micro_pullback;first_pullback;vwap_break;halt_resumption;dip_buy;half_whole_dollar,none,hot,?,?,?,"Biggest green day of 2026; 201 order tickets on DSY alone; small account added $1,000"
174,ltdLO7sAzow,recap,green,1014,small,1,DSY,micro_pullback;first_pullback,none,hot,?,?,?,"Small account day 3: +$1,014.69 to $4,247, +112% on just three trades; main account recap separate"
177,znf0QIW8KRE,recap,green,42000,both,?,AZI;CCTG,micro_pullback;first_pullback;abcd,?,hot,?,?,?,"Small account +$816 (day 2, +61%); missed a second setup when his order was rejected for wrong share size"
179,udYfAMxK8GI,news,?,?,?,?,?,?,?,?,?,?,?,"Plans to trade SpaceX IPO day one only, not invest; requested 2,500 shares at $135 through Schwab"
181,RMxnG64WuLc,recap,green,416,small,1,NPT,first_pullback,none,hot,?,?,?,"Day 1 of the $2,000 Schwab challenge: one afternoon trade, 237 shares of NPT at $8.29, out at $10.04"
187,A7acrZyX9VU,recap,green,75683,main,?,STI,flat_top,chased_extended,?,?,?,?,"Stops only after his first bigger loss, not at a profit target; peaked +$87k, ended +$75.7k"
190,hQCwquA6O7E,recap,green,1723,main,?,BJDX,dip_buy,chased_extended,cold,?,07:19,?,"Roth IRA up 10x from a $96k January reset, $1M profit YTD; says lack of catalysts is the limit"
191,eMRYIeDWZkQ,recap,green,4400,main,3,MTEK;HKIT;MASK,micro_pullback;vwap_break;other,didnt_bank_green,cold,?,?,?,"Passed on TGHL +750% for discipline; $4,400 green vs $5,000 cold-market daily goal"
196,g9sIkD_FqLk,recap,green,20000,main,7,OLOX;CMND,micro_pullback;half_whole_dollar,none,hot,?,?,?,"Hot-market daily goal 3 days running: 38k Wed, 32k Thu, 20k today, near $100k in 3 days"
197,88u1mSNoFl4,recap,green,32000,main,7,NCT;WGRX;SPRC,micro_pullback;dip_buy;half_whole_dollar,none,hot,?,?,?,"NCT +$14k, SPRC +$16k, WGRX +$1.7k; over $70k in two days; donated yesterday's profits"
200,kA7fE1T90Uc,recap,notrade,0,main,0,?,?,none,?,?,?,?,"No-trade day: refused to capitulate into CODX +1,000% in 4 days on shelf-registration offering risk"
201,FvAUfj6z2oE,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Watch AKTX above $16, plus PCLA and ARTL; near $100k on month vs $150k cold-market monthly goal"
203,r88nmkORXBg,training,?,?,?,?,?,?,?,?,?,?,?,SpaceX IPO float only about 4% of 15B shares; 30% of float reserved for retail; he'll trade not invest
206,5AV2OLWD1gc,training,?,?,?,?,?,?,?,cold,?,?,?,"Five failure causes: overestimating skill, misreading market, no discipline, ignoring stats, no experimenting"
207,wGBY2Gi6vWg,recap,notrade,?,main,0,?,?,none,?,?,?,?,Sat out HCWB +270% because the move came after the open where halt levels cap the upside
209,wEszUmPYSvU,recap,green,7720,main,1,RUBY,bull_flag;first_pullback,none,cold,?,?,?,"One trade for $7,719.95, just over cold-market daily goal; up $18k Monday, about $25k on week"
211,2RA9A-IOlvo,recap,green,18630,main,7,LABT;SBFM;GOVX,micro_pullback;dip_buy;half_whole_dollar,back_side,hot,?,?,?,"Banked $18,630 before the open and stopped, after giving back 90% of a $20k day last Monday"
212,O5sOQy66kic,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"May so far: 5 no-trade days, 6 trading days, 2 red, +$64k; 56% accuracy with 2:1 profit/loss"
214,EL5Atr1MP0I,recap,green,7425,main,?,SLE,dip_buy;half_whole_dollar,didnt_bank_green,mixed,07:45,?,N,"Max loss is -$5,000; peaked +$8k, dropped to -$2k, finished +$7,424.60"
216,jw23r-zI0dw,recap,red,-7164,?,3,AEHL;MOBX,micro_pullback;flat_top,oversized;no_cushion;traded_low_quality;broke_ice_boredom,cold,?,?,Y,Traded from his car on Starlink; broke ice after two no-trade days with 40k shares on a low-quality grinder
219,lbWlr8Ddzr0,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Needs 40c of profit potential to justify 20k shares: 10c stop plus 10c slippage
222,F0xGlUENtU4,recap,green,2800,?,?,ODYS,abcd;half_whole_dollar,didnt_bank_green;oversized;slippage,cold,?,?,?,"Lost about 17k on one 20k-share ODYS trade after being up 20k; finished up 2,800"
223,3ahSvIsvlXo,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,Watching MTAX over its 7.50 200EMA and APHI; small caps lag while the S&P sits at all-time highs
225,qImrunVUKus,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Zero trades; needs 4 of 5 pillars to trade; YTD +868k on 437 trades vs 1300 by this date last year
227,iiypasQmXdw,recap,notrade,0,?,0,?,?,none,mixed,?,?,?,"Passed on ATRA: easy-to-borrow, sitting at the daily 200EMA, volume declining while price rose"
230,rbLIgI5zddA,recap,green,?,?,?,ERNA,half_whole_dollar;bull_flag,chased_extended,mixed,?,?,?,Added too high into the 6-dollar breakout on ERNA; the day's profit shown in his Roth IRA account
232,1Zsjn4SltGQ,recap,red,-3447,?,1,CLRB,micro_pullback;half_whole_dollar,none,?,?,?,N,"Successful red day: one trade, cut fast, versus the 57k and 20k red days earlier in the year"
234,ckj7lewBPAs,recap,green,46967,?,?,CNSP,micro_pullback;half_whole_dollar;dip_buy,none,?,?,?,?,"CNSP 4-5 trades all winners; first entry 6.20 on a pullback; 731k float, private placement catalyst"
235,jvtFwwK2Zmo,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,"April was his worst month of the year at +92k with 3 red days, 5 no-trade days and 65% accuracy"
237,hLn6LrlXgAE,training,?,?,?,?,?,first_pullback,?,?,?,?,?,"Entry is the first candle to make a new high after a pullback holding the 50% retrace, 2:1 target"
240,8Rc8v_kOu1w,recap,green,15749,?,3,?,half_whole_dollar;other,ignored_own_filter,?,?,?,?,Ticker never named; no-news Chinese low float traded with reduced size; April ended near +100k
242,PHitAfGrmtY,recap,green,3152,both,?,AXIL;XTLB,micro_pullback,chased_extended,mixed,08:00,?,?,"Retirement acct +$8,300 vs margin (main) +$3,152; added too high on XTLB and gave back $700"
244,j1lWQV40H_E,recap,red,-3500,small,?,NEXR,half_whole_dollar;dip_buy;first_pullback;vwap_break,didnt_bank_green;reentry_after_stop;ignored_own_filter;oversized,cold,?,?,N,"Was +$20,000 then gave it all back; stock was renamed JFBR, which he says he would not have traded"
246,dVPqLvo_X9k,recap,notrade,0,?,0,?,?,none,cold,?,?,?,"Refused to break the ice on HTCO's 100% squeeze: no catalyst, light volume, wide spreads, unmanageable risk"
247,wq1ecBF4M8o,watchlist,?,?,?,?,?,?,?,?,?,?,?,Monthly goal $150k and about $75k shy; would need $20k a day for four days; avoids sub-$1 leading gainers
250,hrZJKJ9NGbk,recap,green,2306.8,?,2,ELPW;NTIP,flat_top;first_pullback,ignored_own_filter,cold,?,08:35,?,"Made only $92.82 on ELPW after a double-top failure; $85k week, best week of the month"
252,atHr4cLbtI0,recap,green,8426.92,small,?,AUUD;CPIX,vwap_break;dip_buy;flat_top;first_pullback,none,?,?,?,?,"Nearly a no-trade day; sat out AUUD's whole run and took only the VWAP break, +$6,500 of the $8,427"
257,1g4FOzXvlpw,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Sat out XRTX's 65% squeeze because the only catalyst was regaining listing compliance via reverse split
259,TV3rb-Tl_kM,recap,green,21690,?,4,ENVB;ARTL;JTAI;WLDS,first_pullback;abcd;half_whole_dollar;other,didnt_bank_green,hot,?,?,?,"Up about $20k unrealized on ENVB but closed it at $8,870; green on all four stocks traded"
260,T_EgRZO3IkM,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,"Trader rehab rules: 10,000-share cap and $6,000 max loss until half the drawdown is recovered"
261,TZkQiVOR5vc,recap,green,21193.77,?,?,PBM;EFOI,half_whole_dollar;first_pullback,none,hot,07:00,?,?,Stopped trading EFOI to protect $21k; says post-open $1 swings were too big to manage risk
263,9Q48uYDUPjg,recap,green,1436.71,?,?,MYSE;ATXG;BTOG,first_pullback;half_whole_dollar;dip_buy,didnt_bank_green;chased_extended,mixed,?,?,N,"Peaked at +$5,000 and gave back most on one BTOG add; passed on WSHP which ran $18 to $42"
265,B_6yuh7YY2g,recap,green,18000,small,?,BIRD,vwap_break;micro_pullback;flat_top;other,none,hot,?,?,?,"Trader rehab day 7: 10,000-share cap until a $5,000 cushion, then sized up to about 22,000 shares"
266,cnoJ9DkWPVM,news,?,?,?,?,?,?,?,?,?,?,?,SEC cut PDT minimum from $25k to $2k effective in 45 days; his cold-market daily goal is 1/4 to 1/5 of hot
268,CVBv8tPpyxA,recap,green,2331,?,1,ROR,micro_pullback,none,?,?,?,?,"One trade only, 10,000 shares for 23c on ROR curl; in drawdown so chipping base hits, get in get green get out"
269,POMf8yNOhk4,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Refused to re-trade SKYQ where he lost $57k a week earlier; rather a no-trade day than another red day
270,5qB-2P8iQjI,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Guard rails after two red days: 10,000-share max position and $6,000 account max loss until half the loss is back"
271,aSTNRYUQZE8,recap,green,5641,?,9,BENF,dip_buy;vwap_break,none,cold,?,?,?,"Green $5,641 in his Roth IRA on BENF only, hunting a curl back over VWAP that never came"
274,qfReXP_lpQE,recap,notrade,0,?,0,?,?,none,cold,?,?,?,Skipped SKYQ because relative volume was only 1.23 versus his 5x minimum; bar is 95% conviction after losses
