pos,videoId,duration,seconds,title
30,1YwQit_4Jqo,SHORT (1:12),72,The Importance of Studying Trades
31,EvaLoKjzKqY,15:40,940,"+$19,323...My Account is up 31% in 2 Trades TODAY..."
32,fWHB9TOuN1A,SHORT (0:39),39,How FOMO Can Affect Day Trading
33,Q6oWxbuvoqA,28:19,1699,BIGGEST RED DAY...
34,8UpOhq5ylzg,SHORT (0:27),27,Recovering From a Big Red Day
35,qNTugIPRrP8,13:28,808,Five Stocks Are Up More Than 100% Today...
36,MVMkhgdf2ng,SHORT (0:48),48,Don't Lose Your Gains! (Day Trading)
37,OzLePbEE5nE,13:19,799,I Was Red -$12k Before My Big Winner...
38,7D3k0Ui_cPY,15:22,922,Day Trading A Stock Up 260% in 1 Day...
39,yHrlQ5_Sc6c,14:02,842,4 Stocks On Watch for Monday Morning!
40,qFg-AFtL71o,SHORT (0:29),29,Stop Trading Like a Rookie!
41,kIZS4bU2Jpo,22:29,1349,MAX LOSS RED DAY (mistakes were made)
42,2BMJ5DjTeUo,10:43,643,Red Day Recap
43,b6mfzHTVrVg,SHORT (0:45),45,Penny Stock Makes Unbelievable Move..
44,Rd8nj1NCBS4,9:26,566,"Penny Stock Goes Up 1,753% in 10 Minutes"
45,7-TYr6dKeiM,SHORT (0:58),58,False Breakout vs Round Trip
46,9x5ww56Ls7U,20:12,1212,Penny Stocks Are Back...
47,QwW9drjeuiM,SHORT (1:02),62,Identifying a Bull Flag Pattern (Day Trading)
48,FOPRLEllotk,14:06,846,Can You Guess Today's Theme?
49,5x9xdpFBfNo,23:24,1404,I didn't see this coming...
50,mCfoMFY9vJE,11:41,701,+986% Short Squeeze for Day 32!
51,l7Z5aqS4zpk,19:26,1166,There's ONE Stock On Watch for Monday
52,i7P54Lt0muc,SHORT (0:47),47,How to Find Stocks With The Most Potential
53,cZcprj_8wEM,31:05,1865,BIGGEST RED DAY OF 2026
54,hZg1xlktd3w,SHORT (0:24),24,Day Trading Basics: Choosing Stocks
55,coqONALABpo,9:10,550,The Most Obvious Stock Today...
56,ofCxvrijsss,16:58,1018,Shorts Keep Getting Squeezed!
57,E_3imCiGvO8,SHORT (0:50),50,Find Your Max Loss Before Entering a Trade
58,sZISHHhAxmU,SHORT (0:31),31,Day Trading Pop Quiz!
59,xGIa8Vg0PWM,59:09,3549,"Growing a $2k Account to $65,662.04 in 30 Days (My Day Trading Strategy)"
60,jGOaSNS9HDw,SHORT (0:40),40,Day Trading Basics: Hanging Man Candle
61,kew1-rBx4kk,12:57,777,Shorts Got Squeezed AGAIN! This Time It Was Another +500%
62,RxWDgPp8qeE,SHORT (0:40),40,"Raising Over $400,000 For Charity"
63,bcn3-gerSsQ,15:17,917,We just had a 500% Short Squeeze on MONDAY MORNING!
64,50iICFBL5kA,23:12,1392,These Are The TWO Stocks I'm Watching for Monday...
65,k-wDhfu2juk,SHORT (0:37),37,The Importance of Technical Analysis
66,k-EEC9ZRQ8A,SHORT (0:49),49,"+$62,000 In One Day Day Trading"
67,ns2SKNDnbZI,8:49,529,I didn't see this coming...
68,LN-eW6OPddw,10:16,616,Biggest Green Day of JULY!!
69,AyEbGw3oDzk,SHORT (0:44),44,How Traders Predict The Market
70,Ctp_STuX_l4,11:39,699,US Healthcare Stock Up 220% in 24hrs...
71,00ar6gbIpUc,SHORT (0:40),40,Avoid Turning Winners to Losers (Day Trading)
72,SuY-q_OWMHw,17:44,1064,Taiwan Stock with Breaking News Goes up 177%
73,1ml6zHikpsE,10:45,645,Max Loss Red Day...
74,y5qu-wI_5Oo,SHORT (0:46),46,Day Trading Basics: Doji Candlestick
75,Zj0DYfQilso,14:03,843,Biggest Red Day...
76,Ht5j4VMdRMo,8:56,536,Trading Tesla and Walmart Breaking News Headlines...
77,blsr5RYzzww,SHORT (0:48),48,Chinese Stocks: Hype or Worth It?
78,83Yuliq1vHA,8:54,534,Record Breaking Green Day!
79,xtslg3eW2tU,19:03,1143,These Are The TWO Stocks I'm Watching for Monday...
80,3HTbebyxxv4,SHORT (0:33),33,Choosing the RIGHT Stocks to Trade
81,p73Vmwgg64c,10:15,615,THIS is why today was choppy...
82,BJ7OlfqwuoE,SHORT (1:00),60,Market Sentiment For Friday
83,b-iczURZwJY,7:57,477,One Winner and One Loser...
84,CA8i4Rc2bUY,8:38,518,I Took A Ride On The Rollercoaster...
85,dLfYf6N2zQ8,SHORT (0:47),47,Advantages of Dip Trading (Day Trading)
86,Ts7C0flv-1g,8:12,492,Another Chinese No News Short Squeeze!
87,YkEOx0ZWlWc,15:51,951,I Just Made $40k in 10-minutes of Day Trading...
88,6YaHgTwZCeM,SHORT (0:36),36,Warrior Trading 2 Week Trial
89,-QZ8buLplck,11:45,705,Biotech Up 300% on Breaking News
90,q-ywzhtkeY8,20:56,1256,"We just have TWO stocks go up over 1,000% 🤯"
91,4z6YBpBjU48,SHORT (0:45),45,Day Trading Quiz: Dip or Dump?
92,mDQEtmG0PCw,8:01,481,Scaling into the Squeeze!
93,sa_B8TtZqxw,SHORT (0:55),55,"+$26,000 Green Day Day Trading"
94,x0qg5eGF7zc,7:08,428,There was ONLY One Obvious Stock Today
95,otCqRWCJ2uA,17:25,1045,Day Trading Watch List for MONDAY!
96,PYSRaEXPgyA,SHORT (0:21),21,The 3 Strikes Rule for Max Loss (Day Trading)
97,PMNTB2WAiww,10:33,633,Reading Market Sentiment...
98,3KcPL5KWTvw,SHORT (0:17),17,The Harsh Truth About Day Trading
99,lxsobJLmO-o,SHORT (0:57),57,What Happens When a Stock Halts
100,2UpK6vs0MVQ,6:46,406,Tiny Green Day
101,TzpOIMOrU7I,7:01,421,Biotech Stock Squeezes 372% in 5 Minutes
102,8IYunlNOVmM,11:39,699,Biggest Green Day of the Challenge!
103,ut9nmRP3ENY,9:12,552,A Reverse Merger Catalyst Sends Stock Squeezing Shorts
104,iVmW4nRiS9w,SHORT (0:48),48,Day Trading Superstition
105,ChLgwLS9eJY,8:52,532,A 350% Short Squeeze!
106,RZbM0qXOFbc,13:48,828,Biggest Loss of The Month...
107,Fbfkxt-cjrA,SHORT (0:59),59,Trader Rallies from -$26k to +$8k
108,S2sOq-stPgA,10:09,609,Big Winner THEN An Even Bigger Loser!!
109,MjrwaD9WeCg,12:55,775,Day Trading Watch List for MONDAY
110,lnBUV_dudiI,SHORT (1:08),68,How Slippage Affects Day Trading
111,ck4jcUCq-wk,SHORT (0:39),39,Breaking Down My Trades
112,uTyfk4UvsUw,13:15,795,ANOTHER 250% Short Squeeze
113,49ykxodJcFc,6:46,406,250% Short Squeeze on Breaking News!
114,eFau-kkYvh8,SHORT (0:19),19,"+$19,000 In One Trade.."
115,miyJZq-5uIg,7:20,440,"My Account Is Up Over 1,000% in 17 Days..."
116,TtsxRiJxctA,SHORT (0:50),50,The Biggest Advantage of Trading Premarket
117,0smkAvTc4AY,8:38,518,I Choose NOT To Trade These Stocks...
118,Dpba4GF0KhY,11:14,674,Is Being Red a State of Mind?
119,qJ-vLpok1cs,SHORT (0:30),30,Day Trading Pop Quiz!
120,550XNdh4y5k,10:50,650,It's All About Your Profit/Loss Ratio!!
121,ZD1ABaLocRk,SHORT (0:51),51,Breaking Down My Trade
122,4T2x29K1TDk,9:49,589,346% Short Squeeze on Chinese Stock with No News!
123,I0aTxFJWAD0,11:30,690,Day Trading Watch List for MONDAY
124,tfqh6cNt22E,SHORT (0:49),49,Why I Day Trade Premarket
125,BZwJFPk3cBM,17:50,1070,The REAL Reason Pre-Market Trading Is Better…
126,zxzE4I3Iig8,9:05,545,I ALMOST Had The Biggest Green Day So Far...
127,MV04y9SnEnU,SHORT (0:47),47,"Making +$8,900 in a Day Day Trading"
128,3dXvK41dpd4,5:54,354,One Last Trade Before The Long Weekend...
129,iZ-mXl0ga3U,6:22,382,"Base Hit Day Trading for +$7,209.08 in 3hrs"
130,tOE71NvdFOU,SHORT (0:58),58,"+$7,000 on Volatile Stock"
131,HTgOZI8GOV0,10:42,642,Narrowly Avoided a Big Loss!
132,PnuyhYGHuUY,16:52,1012,"+$72,872.42 on 3 Explosive Stocks"
133,6-iHcIt2hDo,SHORT (0:56),56,Emotions of Day Trading
134,b1pOO_bkbdA,11:08,668,Breaking News Sends A Stock Up 222% in 15min
135,rhOjs_8rh6w,9:40,580,"Up $28,107.72 in 45min of Trading"
136,tQ7cYcI2tNk,11:48,708,+500% Short Squeeze on Biotech Acquisition News
137,S6AyP-2ziFc,19:36,1176,Day Trading Watch List for MONDAY!
138,Vli3bhyT7BU,SHORT (0:23),23,Test Your Knowledge: Day Trading
139,hUb-n3kzqjI,17:18,1038,HUGE LOSS
140,RFjL4slhVAg,SHORT (0:21),21,Day Trading: Mindset is Everything
141,P5qdiBNct1c,8:03,483,"Day 11 of Growing a $2,000 Account with Charles Schwab"
142,kOVUdIHLxPg,SHORT (0:48),48,Day Trader's Computer Freezes Mid Trade
143,A7Gnw1CMExI,10:48,648,This Stock Went Up 589% Today on SpaceX News!
144,P5Sn_mWJdy0,14:13,853,Day Trading the Break of VWAP Setup
145,tfTdAbm9oTI,9:05,545,A Surprise 400% Short Squeeze
146,t3vEz58DShU,SHORT (1:00),60,Breaking Down My Trades
147,D8Guwf84eAA,14:32,872,"The ""Blue Sky"" Day Trading Pattern"
148,KbyKUrnf1GU,SHORT (0:36),36,Progressing as a Day Trader
149,8KQmIREGX6E,18:17,1097,MAX LOSS RED DAY
150,10ogBWqgprI,8:29,509,Account Is Up +330% in 8 Days...
151,wxcUcYbUtDw,16:22,982,The MOST OBVIOUS Stock Today...
152,W6AErTREKHw,15:06,906,Short Sellers Didn't See This Coming...
153,oRX-scXUU0U,16:23,983,Day Trading Watch List for MONDAY!
154,L1mi5ENCn98,16:57,1017,+100% Move then 3 Halts Down on Bad News! (Reminder: Market Closed Tomorrow)
155,Zf2p9c1qHjg,12:18,738,RED DAY on Day 6 of my Small Account Challenge
156,9aVNE3mJJBk,14:03,843,We Just Had a 400% Short Squeeze
157,ZVM1OzsCRcc,10:20,620,RED DAY RECAP
158,QShhOUa3-cE,SHORT (0:52),52,"+$2,300 Under New PDT Rule"
159,c814DtTOGDg,12:15,735,I Grew My Account +50% in 10 Minutes
160,N4755FWKNhM,SHORT (1:04),64,"Breaking Down +$44,000 Trading Day"
161,KlIE5mjS2dM,13:39,819,"+$44,729.39 in 3hrs of Day Trading Breaking News"
162,Z5uEU-iFqsg,SHORT (0:23),23,"+$49,000 Day Trading SpaceX IPO"
163,2hVojBIp5Zc,18:47,1127,Day Trading Watch List for MONDAY!
164,1EPIbySt2xc,2:59:21,10761,"LIVE: SpaceX IPO \| First Trade, Price Targets & Real-Time Analysis for $SPCX"
165,J6wlDEgTapE,SHORT (0:00),0,"LIVE: SpaceX IPO \| First Trade, Price Targets & Real-Time Analysis for $SPCX"
166,pKwlC2DvSiQ,SHORT (1:00),60,Did You Get Your SpaceX Shares?
167,a_sPocQnr4g,3:00,180,SpaceX IPO: Did You Get Any Shares?
168,vcfpJWEqaTU,14:43,883,A Lesson on How to Manage Risk in a HOT Market...
169,6eU4iYh5xTw,SHORT (0:50),50,How I stay Green After a Big Loss
170,SKQp9GaDIi8,SHORT (0:00),0,New Stream
171,5UBYoh6J2e0,11:40,700,Trading a Chinese Short Squeeze! ThinkorSwim Small Account Challenge Day 4
172,YDCycC3xVMA,28:03,1683,We Just Had A 950% Short Squeeze
173,booI6io6mrk,SHORT (0:59),59,"+$140,000 In a Day (Day Trading)"
174,ltdLO7sAzow,13:03,783,We Just Had A Stock Go Up 950% in 2hrs
175,3oAWG7rRLHo,SHORT (0:29),29,SpaceX IPO: Forced Exit Strategy?
176,HAUMX8jFkEo,SHORT (1:00),60,Shorting SpaceX?
177,znf0QIW8KRE,17:38,1058,"This Is Crazy! We Just Had ANOTHER 2,000% Short Squeeze!"
178,6d6goYItFds,SHORT (0:29),29,PDT Rule Change: Spiking Volume?
179,udYfAMxK8GI,19:35,1175,SpaceX IPO: IMPORTANT Details Every Trader Must Know!
180,96qM5iyoGnc,SHORT (0:19),19,SpaceX IPO: Elon Musk Becomes Trillionaire?
181,RMxnG64WuLc,13:15,795,"We Just Had A Stock Go Up 5,000% Today!"
182,q4hFWknuLYY,SHORT (0:29),29,SpaceX IPO: Day 1 Target Price?
183,4tOf-A3MaOE,57:25,3445,SpaceX IPO: My Complete Trading Plan With 30-Day and 6-Month Price Targets
184,3x-A8JsgW5U,SHORT (0:43),43,Profit Target Hit? Don't Sell Yet!
185,qzSL8PtNylQ,SHORT (0:26),26,Can You Pass This Day Trading Quiz?
186,jf9Lb-fuA7c,SHORT (1:16),76,"How I Made +$75,000 Trading"
187,A7acrZyX9VU,13:19,799,"Up $75,683.64 TODAY on SpaceX Theme News"
188,UKhVRPkKK1Q,SHORT (0:57),57,How I'd Retire in 5 Years
189,O6PM7ygWCXI,SHORT (0:37),37,How I Pick Stocks to Trade
190,hQCwquA6O7E,17:00,1020,This Stock Went Up 288% THEN It Tanked over 50%
191,eMRYIeDWZkQ,16:13,973,This Stock Went Up 750% TODAY!
192,cy0Wl9oGLAo,SHORT (0:54),54,This Stock Squeezed up 750%
193,hutJTEEaWNs,SHORT (0:43),43,How Liquidity is Formed Stock Market
194,2IMvfIR1TPA,58:30,3510,"I Reset My Account to $2,000 (AGAIN) Charles Schwab ThinkorSwim Challenge Ep 1"
195,6xVvZOaUqIg,SHORT (0:42),42,Return of a Hot Market? (Day Trading)
196,g9sIkD_FqLk,9:37,577,Biggest Green Week for May! 4 More Stocks Up Over 100%
197,88u1mSNoFl4,11:20,680,We Had 5 Stocks Go Up Over 100% Today
198,gQSh61f3UjE,SHORT (0:36),36,SpaceX Bigger than Nvidia?
199,Mnu1X9shJIw,1:17:27,4647,"Made $39,476.53 in the Desert and Donated it to the Navajo Nation ☀️"
200,kA7fE1T90Uc,14:10,850,Will this stock keep going higher?
201,FvAUfj6z2oE,12:00,720,Day Trading Watch List for TUESDAY (We had 250% Short Squeeze on Friday)
202,7ztvQctVLfw,SHORT (0:50),50,How to Know The Market Your Trading
203,r88nmkORXBg,29:51,1791,SpaceX IPO: Everything you NEED to Know to Get Ready!
204,5M5AQsdsO-o,SHORT (0:54),54,Biggest Mistake Traders Make
205,W_9cjSPjiaQ,SHORT (0:36),36,Your Intuition is Probably Wrong Here's Why
206,5AV2OLWD1gc,29:53,1793,Top 5 Reasons Why Traders Lose Money 💰Don't Make These Mistakes!!!
207,wGBY2Gi6vWg,7:24,444,A 280% Short Squeeze on a Biotech Stock
208,G156KCnOgYw,SHORT (0:38),38,+$7k in Less Than 5 Minutes
209,wEszUmPYSvU,9:47,587,+$7k in Less Than 5 Minutes...
210,fNu5W37ramc,SHORT (0:50),50,Green Shirt = Green Day
211,2RA9A-IOlvo,14:02,842,a 780% Short Squeeze at 8am!
212,O5sOQy66kic,19:05,1145,Day Trading Watch List for MONDAY
213,z_nTBaX-QGI,SHORT (0:13),13,Day Trading in 3 Steps
214,EL5Atr1MP0I,14:32,872,Biggest Green Day of the Week!
215,VpXZez0qYHY,SHORT (0:53),53,Hitting Rock Bottom as a Day Trader
216,jw23r-zI0dw,12:29,749,trading in my car...
217,gSpdBefMu-8,SHORT (0:46),46,Understanding Scaling for Day Trading
218,_uwQS3k7-4U,SHORT (0:42),42,Dealing With Emotions While Trading
219,lbWlr8Ddzr0,15:56,956,What would you do?
220,rd8_4kBZK8c,SHORT (0:50),50,Should You Develop Your OWN Day Trading Strategy?
221,5XLiTd0Lc4w,SHORT (0:41),41,Perception is Everything Day Trading
222,F0xGlUENtU4,13:56,836,A huge loss...
223,3ahSvIsvlXo,11:10,670,Day Trading Watch List for MONDAY!
224,IV68FiaCyFA,SHORT (0:33),33,My Favorite Day Trading Strategy
225,qImrunVUKus,24:19,1459,This is the Hardest Part...
226,PfrQ4MviWo0,SHORT (0:47),47,Don't Blow Your Account in a Cold Market!
227,iiypasQmXdw,9:36,576,No Trade Day!
228,GpbtGMc-cT4,SHORT (0:22),22,Day Trading 101: Hammer Candle
229,dyLVF6fsB58,SHORT (1:10),70,Previous Stock Shows Caution Signs
230,rbLIgI5zddA,22:00,1320,Breaking News Sends Biotech Stock Up 60%
231,B9bbzHDzrlM,SHORT (1:03),63,Red Days Are Not Always Bad!
232,1Zsjn4SltGQ,13:00,780,RED DAY RECAP
233,fN0Uz7DHw5M,SHORT (1:10),70,Huge Green Day to Start the Month!
234,ckj7lewBPAs,11:59,719,The Game Plan is Paying Off!
235,jvtFwwK2Zmo,15:02,902,Day Trading Watch List for MONDAY!
236,N9zhdVnPf8M,SHORT (0:34),34,One Pattern Any Share Size
237,hLn6LrlXgAE,30:58,1858,The Only Candlestick Pattern You'll Ever Need (full training)
238,G9N49TMCiWY,SHORT (0:48),48,Understanding Candlesticks (Day Trading)
239,qMHm4NUoFxM,SHORT (1:23),83,Red Flags in Day Trading?
240,8Rc8v_kOu1w,7:14,434,Chinese Stock with No News Goes up 96%
241,haG7T06feT8,SHORT (0:55),55,"Biotech Catalyst leads to +$8,000 Green Day! (Day Trading)"
242,PHitAfGrmtY,15:43,943,Biotech News for the Win!
243,pgR1LSaDZ5U,SHORT (0:24),24,"Spot Trends, Increase Profit Odds! (Day Trading)"
244,j1lWQV40H_E,13:57,837,Red Day Recap
245,o-Hqx-GxMn4,SHORT (0:58),58,Why Do Traders Fail?
246,dVPqLvo_X9k,9:16,556,NO TRADE DAY
247,wq1ecBF4M8o,13:43,823,Day Trading Watch List for MONDAY!
248,YTPrEWABrGI,SHORT (0:37),37,The Two Reasons Traders Fail
249,8SWCCRLg1p0,54:10,3250,Ultimate Guide to Trading in a Small Account
250,hrZJKJ9NGbk,12:20,740,"+$2,306.80 Trading Leading Percentage Gainers"
251,11-3_F4fvVM,SHORT (0:39),39,Trade Smarter: Profit Ratio Strategy
252,atHr4cLbtI0,12:14,734,Day Trading the Top 2 Leading % Gainers in the Market
253,pIBy13JarYM,SHORT (0:47),47,How I Became a Successful Trader
254,tQU513I9BkU,SHORT (0:52),52,"+$56,000 In ONE DAY Day Trading"
255,6P25hNn_H00,45:57,2757,The Micro Pullback Trading Strategy (Small Account Challenge)
256,-j5aRiqtmig,SHORT (0:48),48,Identifying Trap Setup (Day Trading)
257,1g4FOzXvlpw,13:58,838,Today Was An Exercise in Discipline...
258,aF_XkBsnzkQ,SHORT (0:27),27,Is Momentum Back in The Stock Market?
259,TV3rb-Tl_kM,14:55,895,"+$21,690.15 on 3 Stocks Up Over 100% TODAY"
260,T_EgRZO3IkM,22:07,1327,Day Trading Watch List for MONDAY!
261,TZkQiVOR5vc,10:33,633,Here we go! Another Short Squeeze!
262,l5pBihz3TQU,SHORT (0:59),59,"+$21,193 Day Trading Small Cap Stocks!"
263,9Q48uYDUPjg,8:21,501,3 Stocks Up Over 100% With More Breaking News!
264,rRiNAGBJ3II,SHORT (0:29),29,Missed Move on Stock Up 800%!
265,B_6yuh7YY2g,16:56,1016,"400% Short Squeeze?!?! No, 800% is Better!"
266,cnoJ9DkWPVM,13:38,818,Big PDT Rule Change and What it Means for You
267,_qi8CleZ7cY,SHORT (0:24),24,The PDT Rule Officially Changed! (2026)
268,CVBv8tPpyxA,8:59,539,Prediction Markets Catalyst Sends Stock Up Over 100%
269,POMf8yNOhk4,10:45,645,Holding the line...
270,5qB-2P8iQjI,18:56,1136,Day Trading Watch List for Monday!
271,aSTNRYUQZE8,13:10,790,Hitting the Daily Goal!
272,Src8kE5SRzs,SHORT (0:39),39,Get Good at LOSING
273,GLEiKXQtL3s,SHORT (0:45),45,Why Day Traders Are Moving to Puerto Rico
274,qfReXP_lpQE,14:44,884,The Discipline NOT to Trade Low Quality Setups
275,Fx_OvMpf_P8,SHORT (0:28),28,Is Day Trading Gambling?
276,wSSOmCN1DZY,10:28,628,Get Green & Get Out!
277,X3gSZVrI_50,SHORT (0:32),32,What Is a Doji Candle?
278,Lrg5pGOH6_c,9:31,571,There Was Only ONE Obvious Stock
279,jUk4UfPIHDg,SHORT (0:40),40,Hammer Candlestick: Bullish Signal Explained!
280,6BgCNjfhLag,26:49,1609,Max Loss Red Day...
281,9osEhbytsF0,27:23,1643,Day Trading Watch List for Monday!
282,HrWHwpuz7E4,24:16,1456,How Traders (Legally) Pay ZERO in Taxes
283,Jda6OSN8qwM,SHORT (0:52),52,How I Trade Any Market In Seconds
284,FR4P05F3msg,SHORT (1:08),68,Ross's WORST Red Day of The Year
285,S1p2ht0UcpI,24:04,1444,BIGGEST LOSS OF 2026
286,GMsotPO01kk,SHORT (0:44),44,Where Day Traders Go Wrong
287,t793KtZcfyE,14:06,846,A Short Squeeze on Merger News Sends Stock Up!
288,SlLz0dB4qaI,SHORT (0:52),52,Advice For Beginner Day Traders
289,jZwBOwfSMhk,12:32,752,MAX LOSS RED DAY
290,eV68UIsEXpk,SHORT (0:31),31,Common Day Trading Myth 👀
291,unYS8e-5JAw,10:15,615,Two Stocks Up Over 100% On The Day!
292,JonY_wSOBB8,SHORT (0:58),58,Pressure Doesn't Always Make Diamonds..
293,sTZ7fNT6_z0,SHORT (1:00),60,A Look Inside Ross's Day Trading Travel Van pt.10
294,3hmDWJfZ0_0,25:08,1508,The Secret Nobody Tells You About Reading Candlestick Charts...
295,w9byEpm5IQE,25:01,1501,Breaking News Sends Stock from $3.00 to $12.45 in 2hrs!
296,-lBvZJRs6h0,SHORT (0:42),42,Ending The Week Green! Day Trading
297,--QD86PTCxc,SHORT (1:00),60,A Look Inside Ross's Day Trading Travel Van pt.9
298,-cOUFqvgYxo,SHORT (0:58),58,Good Karma Brought a MASSIVE Green Day!
299,Mt4bM0l13J0,19:16,1156,This Stock Went Up 300% in 3hrs
300,doDAPYRbeRk,SHORT (1:01),61,A Look Inside Ross's Day Trading Travel Van pt.8
301,NJJR_hyADEQ,SHORT (0:57),57,Why Trading Continuation Can be Frustrating Sometimes
302,tptW_GUZTTM,15:07,907,I Only Took 2 Trades Today...
303,oCJupHF6IhE,SHORT (0:58),58,A Look Inside Ross's Day Trading Travel Van pt.7
304,g5SkZVMPD6Q,12:38,758,Max Loss Red Day
305,g90kA0DdXXw,SHORT (1:00),60,A Look Inside Ross's Day Trading Travel Van pt.6
306,Z-N9lCcxDFM,SHORT (0:57),57,The SECRET to Why Beginner Traders Struggle!
307,KFJ5rX-KukM,SHORT (0:45),45,Chipping Away in a Cold Market!
308,NSIVY9rExmM,13:57,837,Breaking News Sends Stock Up 80% in 2hrs
309,dfua_xkTj2I,SHORT (1:01),61,A Look Inside Ross's Day Trading Travel Van pt.5
310,Yy53xTZ4zo0,12:24,744,Day Trading Watch List for Monday Morning!
311,RaMw-5Vk6ak,SHORT (0:58),58,A Look Inside Ross's Day Trading Travel Van pt.4
312,iXr5V_PM5XU,SHORT (0:57),57,A Look Inside Ross's Day Trading Travel Van pt.3
313,hAipShFNYh0,16:51,1011,Here's Why Traders Are MOVING To Puerto Rico ☀️
314,nM2MxYk6Eo0,12:43,763,"Day Trading a ""Continuation"" Setup"
315,k1xy2koW-J0,SHORT (0:58),58,Identifying Big Seller Showed Me My Exit!
316,lczcGtK5IAw,SHORT (0:59),59,A Look Inside Ross's Day Trading Travel Van pt.2
317,YRxry3l0aLE,13:17,797,I screwed up today...
318,_XXj4s0sNMI,SHORT (0:33),33,Identifying Large Sell Orders in The Market (Day Trading)
319,jnvVOajJyvk,SHORT (0:57),57,A Look Inside Ross's Day Trading Travel Van pt.1
320,g8NeWQrOgbM,SHORT (0:47),47,The Simplest Day Trading Strategy for Beginner Traders
321,grVwxjck5I8,12:09,729,The Only Obvious Trade...
322,FlkrnF04qgY,23:18,1398,This Stock Dropped 97% in 12hrs...
323,jJp153fAXho,SHORT (0:43),43,Simple Bear Market Day Trading Strategy
324,BGbnYupfTyk,15:26,926,A Chinese Small Cap Surprise!
325,xJHil5kPk7s,SHORT (0:37),37,When to STOP Taking Trades 👀 (day trading)
326,qmj9lJDB5QU,13:39,819,Breaking News Sends Stock Up 88% in 5 minutes
327,WMuwB3mXwHQ,12:14,734,Day Trading Watch List for Monday!
328,CmB0PYLGQ_w,SHORT (0:46),46,Could You Survive? (Cold Market)
329,_MV6pw3WKh4,17:24,1044,100% Accuracy on Friday the 13th
330,9DL6uVl4fY4,SHORT (0:31),31,Slippage Based on the Market (EXPLAINED)
331,0VjBl1ZwQVU,15:29,929,There Was Only ONE Obvious Stock Today...
332,j68vrP1XOrU,SHORT (1:00),60,Pivoting From Bull to Bear Markets (Day Trading)
333,trcKOZnoPPs,19:07,1147,The Bear Market Strategy Episode You NEED To Watch
334,lnydAmzYNHs,SHORT (0:30),30,You NEED This For Day Trading..
335,ZjkmBX7fgqI,21:28,1288,A Miraculous Recovery from RED to GREEN
336,eqyyfoqXueM,SHORT (0:42),42,BIGGEST Piece of Day Trading Advice
337,2IpOnPGuD2o,18:13,1093,"+$2,703.02 in Day Trading Profits"
338,JALBu5vI6tE,18:16,1096,Oil is up another 17% since Friday...
339,OxbdE17RmtU,SHORT (0:38),38,Risk vs Reward Day Trading Strategy
340,G54paZrpTZ0,SHORT (0:59),59,Military/Defense Stocks (Current)
341,tORBGTNTOUo,18:50,1130,Oil Continues to Climb Higher...
342,X1RKNI1OOvA,SHORT (0:55),55,conflict in middle east = defense stock squeeze
343,KnpatDLAxjY,19:52,1192,Israeli Defense Stock Squeezes 75% on Breaking News
